priority	scroll_key	scroll_id	short_id	division	z	y	x	width	height	patch_size	voxel_um	ml_window_mm	submittable_window	local_uri	notes
1.2500	Scroll2	Scroll 2	PHerc0125	div_10	2432	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_10/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_10	2432	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_10/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_10	2432	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_10/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_10	2304	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_10/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_20	4224	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_20/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_20	4224	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_20/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_20	4224	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_20/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_20	4224	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_20/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_20	4352	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_20/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_30	6272	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_30/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_30	6272	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_30/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_30	6272	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_30/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_30	6272	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_30/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_30	6400	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_30/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_40	8192	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_40/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_40	8192	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_40/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_40	8192	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_40/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_40	8192	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_40/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_40	8320	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_40/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_50	10240	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_50/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_50	10240	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_50/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_50	10240	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_50/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_50	10240	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_50/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_50	10368	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_50/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_60	12160	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_60/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_60	12160	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_60/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_60	12160	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_60/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_60	12160	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_60/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_60	12288	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_60/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_70	14208	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_70/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_70	14208	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_70/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_70	14208	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_70/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_70	14208	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_70/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_70	14336	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_70/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_80	16256	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_80/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_80	16256	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_80/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_80	16256	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_80/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_80	16256	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_80/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_80	16128	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_80/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_0	1000	1920	2176	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_0/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_0	1000	1984	2112	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_0/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_0	1000	2048	2048	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_0/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_0	1000	2112	1984	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_0/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_0	1000	2176	1920	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_0/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_10	3712	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_10/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_10	3712	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_10/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_10	3712	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_10/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_10	3584	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_10/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_10	3712	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_10/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_20	6912	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_20/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_20	6912	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_20/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_20	6912	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_20/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_20	6912	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_20/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_20	6784	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_20/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_30	10240	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_30/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_30	10240	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_30/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_30	10240	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_30/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_30	10240	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_30/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_30	10112	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_30/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_40	13312	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_40/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_40	13312	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_40/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_40	13312	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_40/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_40	13312	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_40/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_40	13440	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_40/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_50	16768	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_50/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_50	16768	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_50/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_50	16768	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_50/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_50	16768	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_50/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_50	16640	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_50/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_60	19968	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_60/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_60	19968	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_60/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_60	19968	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_60/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_60	19968	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_60/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_60	19840	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_60/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_70	23296	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_70/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_70	23296	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_70/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_70	23296	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_70/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_70	23296	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_70/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_70	23168	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_70/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_80	26496	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_80/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_80	26496	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_80/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_80	26496	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_80/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_80	26496	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_80/0	First Letters / First Title target
1.2500	Scroll3	Scroll 3	PHerc0332	div_80	26368	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_80/0	First Letters / First Title target
