priority	scroll_key	scroll_id	short_id	division	z	y	x	width	height	patch_size	voxel_um	ml_window_mm	submittable_window	local_uri	notes	review_score	prediction_found	metadata_found	metadata_error	ink_mean	ink_std	ink_max	ink_hot_fraction	fiber_mean	artifact_stem	ct_occupied_status	ct_chunk_coord
1.2500	Scroll2	Scroll 2	PHerc0125	div_0	896	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_0/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_896_4000_4000_64x64	true	7.31.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_0	768	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_0/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_768_4128_4128_64x64	true	6.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_10	2432	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_10/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_2432_4000_4128_64x64	true	19.31.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_10	2432	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_10/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_2432_4128_4128_64x64	true	19.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_10	2432	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_10/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_2432_4000_4000_64x64	true	19.31.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_10	2432	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_10/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_2432_4128_4000_64x64	true	19.32.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_10	2304	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_10/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_2304_4000_4128_64x64	true	18.31.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_20	4224	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_20/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_4224_4128_4128_64x64	true	33.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_20	4224	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_20/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_4224_4128_4000_64x64	true	33.32.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_20	4224	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_20/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_4224_4000_4128_64x64	true	33.31.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_20	4224	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_20/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_4224_4000_4000_64x64	true	33.31.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_20	4352	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_20/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_4352_4128_4128_64x64	true	34.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_30	6272	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_30/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_6272_4128_4128_64x64	true	49.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_30	6272	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_30/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_6272_4128_4000_64x64	true	49.32.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_30	6272	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_30/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_6272_4000_4128_64x64	true	49.31.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_30	6272	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_30/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_6272_4000_4000_64x64	true	49.31.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_30	6400	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_30/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_6400_4128_4128_64x64	true	50.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_40	8192	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_40/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_8192_4128_4128_64x64	true	64.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_40	8192	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_40/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_8192_4128_4000_64x64	true	64.32.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_40	8192	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_40/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_8192_4000_4128_64x64	true	64.31.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_40	8192	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_40/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_8192_4000_4000_64x64	true	64.31.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_40	8320	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_40/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_8320_4128_4128_64x64	true	65.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_50	10240	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_50/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_10240_4128_4128_64x64	true	80.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_50	10240	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_50/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_10240_4128_4000_64x64	true	80.32.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_50	10240	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_50/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_10240_4000_4128_64x64	true	80.31.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_50	10240	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_50/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_10240_4000_4000_64x64	true	80.31.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_50	10368	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_50/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_10368_4128_4128_64x64	true	81.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_60	12160	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_60/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_12160_4128_4128_64x64	true	95.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_60	12160	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_60/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_12160_4128_4000_64x64	true	95.32.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_60	12160	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_60/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_12160_4000_4128_64x64	true	95.31.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_60	12160	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_60/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_12160_4000_4000_64x64	true	95.31.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_60	12288	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_60/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_12288_4128_4128_64x64	true	96.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_70	14208	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_70/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_14208_4128_4128_64x64	true	111.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_70	14208	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_70/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_14208_4128_4000_64x64	true	111.32.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_70	14208	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_70/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_14208_4000_4128_64x64	true	111.31.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_70	14208	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_70/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_14208_4000_4000_64x64	true	111.31.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_70	14336	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_70/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_14336_4128_4128_64x64	true	112.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_80	16256	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_80/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_16256_4128_4128_64x64	true	127.32.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_80	16256	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_80/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_16256_4128_4000_64x64	true	127.32.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_80	16256	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_80/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_16256_4000_4128_64x64	true	127.31.32
1.2500	Scroll2	Scroll 2	PHerc0125	div_80	16256	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_80/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_16256_4000_4000_64x64	true	127.31.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_80	16128	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_80/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_16128_4128_4128_64x64	true	126.32.32
1.2500	Scroll3	Scroll 3	PHerc0332	div_10	3712	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_10/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_3712_7712_7712_64x64	true	29.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_10	3712	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_10/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_3712_7840_7712_64x64	true	29.61.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_10	3712	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_10/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_3712_7712_7840_64x64	true	29.60.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_10	3584	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_10/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_3584_7712_7712_64x64	true	28.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_10	3712	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_10/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_3712_7840_7840_64x64	true	29.61.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_20	6912	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_20/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_6912_7712_7712_64x64	true	54.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_20	6912	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_20/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_6912_7712_7840_64x64	true	54.60.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_20	6912	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_20/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_6912_7840_7712_64x64	true	54.61.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_20	6912	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_20/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_6912_7840_7840_64x64	true	54.61.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_20	6784	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_20/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_6784_7712_7712_64x64	true	53.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_30	10240	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_30/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_10240_7712_7712_64x64	true	80.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_30	10240	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_30/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_10240_7712_7840_64x64	true	80.60.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_30	10240	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_30/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_10240_7840_7712_64x64	true	80.61.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_30	10240	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_30/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_10240_7840_7840_64x64	true	80.61.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_30	10112	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_30/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_10112_7712_7712_64x64	true	79.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_40	13312	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_40/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_13312_7712_7712_64x64	true	104.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_40	13312	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_40/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_13312_7712_7840_64x64	true	104.60.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_40	13312	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_40/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_13312_7840_7712_64x64	true	104.61.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_40	13312	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_40/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_13312_7840_7840_64x64	true	104.61.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_40	13440	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_40/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_13440_7712_7712_64x64	true	105.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_50	16768	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_50/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_16768_7712_7712_64x64	true	131.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_50	16768	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_50/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_16768_7712_7840_64x64	true	131.60.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_50	16768	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_50/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_16768_7840_7712_64x64	true	131.61.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_50	16768	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_50/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_16768_7840_7840_64x64	true	131.61.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_50	16640	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_50/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_16640_7712_7712_64x64	true	130.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_60	19968	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_60/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_19968_7712_7712_64x64	true	156.60.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_60	19968	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_60/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_19968_7712_7840_64x64	true	156.60.61
1.2500	Scroll3	Scroll 3	PHerc0332	div_60	19968	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_60/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_19968_7840_7712_64x64	true	156.61.60
1.2500	Scroll3	Scroll 3	PHerc0332	div_60	19968	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_60/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_19968_7840_7840_64x64	true	156.61.61
